"dataset","obs.interval","node.degree","eccdf"
"shed2",90,2,0.64
"shed2",90,6,0.12
"shed2",90,5,0.24
"shed2",90,1,0.84
"shed2",90,9,0.04
"shed2",90,7,0.08
"shed2",90,4,0.36
"shed2",90,3,0.52
"shed2",180,1,0.72
"shed2",180,5,0.08
"shed2",180,2,0.48
"shed2",180,3,0.2
"shed2",180,6,0.04
"shed2",360,1,0.6667
"shed2",360,2,0.25
"shed2",360,3,0.1667
"shed7",5,8,0.0213
"shed7",5,2,0.4255
"shed7",5,3,0.2979
"shed7",5,1,0.7234
"shed7",5,5,0.1064
"shed7",5,7,0.0638
"shed7",5,4,0.1915
"shed7",10,7,0.0233
"shed7",10,2,0.3721
"shed7",10,1,0.6744
"shed7",10,4,0.093
"shed7",10,3,0.186
"shed7",10,5,0.0698
"shed7",30,4,0.0278
"shed7",30,2,0.3056
"shed7",30,1,0.6111
"shed7",30,3,0.1667
"shed7",60,2,0.2121
"shed7",60,1,0.5152
"shed7",60,3,0.1212
"shed7",90,2,0.2143
"shed7",90,1,0.4643
"shed7",90,3,0.0714
"shed7",180,1,0.3704
"shed7",180,2,0.1852
"shed7",180,3,0.0741
"shed7",360,1,0.2917
"shed7",360,2,0.0833
"shed7",360,3,0.0417
"shed8",5,15,0.0492
"shed8",5,2,0.6885
"shed8",5,5,0.377
"shed8",5,1,0.7705
"shed8",5,6,0.2787
"shed8",5,4,0.4918
"shed8",5,12,0.1148
"shed8",5,9,0.1803
"shed8",5,16,0.0164
"shed8",5,10,0.1639
"shed8",5,14,0.082
"shed8",5,11,0.1475
"shed8",5,7,0.2295
"shed8",5,3,0.5902
"shed8",5,8,0.2131
"shed8",10,2,0.7018
"shed8",10,12,0.0526
"shed8",10,5,0.2982
"shed8",10,1,0.7719
"shed8",10,6,0.2632
"shed8",10,3,0.5789
"shed8",10,7,0.2105
"shed8",10,4,0.4211
"shed8",10,9,0.1404
"shed8",10,13,0.0351
"shed8",10,8,0.1754
"shed8",30,2,0.5098
"shed8",30,8,0.098
"shed8",30,9,0.0588
"shed8",30,3,0.3725
"shed8",30,4,0.2745
"shed8",30,10,0.0196
"shed8",30,6,0.1569
"shed8",30,1,0.7647
"shed8",30,5,0.2157
"shed8",60,2,0.4255
"shed8",60,6,0.0851
"shed8",60,5,0.1277
"shed8",60,3,0.2128
"shed8",60,7,0.0426
"shed8",60,8,0.0213
"shed8",60,1,0.6596
"shed8",60,4,0.1915
"shed8",90,9,0.0238
"shed8",90,2,0.3571
"shed8",90,3,0.2143
"shed8",90,5,0.0714
"shed8",90,1,0.5714
"shed8",90,7,0.0476
"shed8",90,4,0.1429
"shed8",180,2,0.2703
"shed8",180,3,0.1351
"shed8",180,1,0.5405
"shed8",180,5,0.0541
"shed8",180,7,0.027
"shed8",180,4,0.1081
"shed8",360,1,0.3333
"shed8",360,2,0.1212
"shed8",360,5,0.0303
"shed8",360,3,0.0909
"shed9",5,8,0.0984
"shed9",5,2,0.6393
"shed9",5,7,0.1967
"shed9",5,5,0.3443
"shed9",5,4,0.4262
"shed9",5,6,0.3279
"shed9",5,3,0.541
"shed9",5,13,0.0164
"shed9",5,1,0.7213
"shed9",5,12,0.0492
"shed9",5,10,0.0656
"shed9",10,7,0.1167
"shed9",10,2,0.5667
"shed9",10,4,0.3333
"shed9",10,3,0.45
"shed9",10,9,0.0833
"shed9",10,6,0.1667
"shed9",10,17,0.0167
"shed9",10,14,0.0333
"shed9",10,1,0.7167
"shed9",10,5,0.2333
"shed9",10,10,0.05
"shed9",10,8,0.1
"shed9",30,3,0.2642
"shed9",30,1,0.6604
"shed9",30,4,0.1887
"shed9",30,2,0.3774
"shed9",30,6,0.0755
"shed9",30,10,0.0189
"shed9",30,9,0.0377
"shed9",30,5,0.0943
"shed9",30,7,0.0566
"shed9",60,3,0.1364
"shed9",60,1,0.5909
"shed9",60,2,0.2727
"shed9",60,4,0.0909
"shed9",60,6,0.0227
"shed9",60,5,0.0682
"shed9",90,3,0.1351
"shed9",90,1,0.4595
"shed9",90,2,0.2703
"shed9",90,4,0.1081
"shed9",90,5,0.027
"shed9",180,3,0.0345
"shed9",180,1,0.3448
"shed9",180,2,0.069
"shed9",360,1,0.2
"shed9",360,2,0.1
